Outer Fold,Best Params,Inner Accuracy,Outer Accuracy
1,4,0.8879992605109125,0.8966666666666666
2,4,0.8902365113653543,0.91
3,4,0.8830012283863914,0.8666666666666667
4,4,0.8891656569288022,0.8633333333333333
5,4,0.8872373181216291,0.86
6,6,0.8905378802148416,0.8866666666666667
7,2,0.8935834970297044,0.8766666666666667
8,2,0.8906458446592822,0.8866666666666667
9,6,0.8858901805424827,0.9066666666666666
10,6,0.8882322925324179,0.9066666666666666
11,4,0.888363188197723,0.9033333333333333
12,2,0.885568684851488,0.9033333333333333
13,2,0.8861189479558356,0.89
14,4,0.8863550492076442,0.8733333333333333
15,4,0.885670621559983,0.8766666666666667
16,6,0.8813188565625648,0.91
17,6,0.8879670402116824,0.88
18,2,0.8851359328958575,0.88
19,4,0.8825908873329809,0.8666666666666667
20,6,0.8918651253711548,0.8766666666666667
