Outer Fold,Best Params,Inner Accuracy,Outer Accuracy
1,{'C': 0.01},0.6728,0.6900
2,{'C': 0.01},0.6753,0.6933
3,{'C': 0.01},0.6750,0.6533
4,{'C': 0.01},0.6758,0.6467
5,{'C': 0.01},0.6745,0.6800
6,{'C': 0.01},0.6768,0.6500
7,{'C': 0.01},0.6719,0.6933
8,{'C': 0.01},0.6725,0.6833
9,{'C': 0.01},0.6741,0.6633
10,{'C': 0.01},0.6735,0.6667
11,{'C': 0.01},0.6732,0.7000
12,{'C': 0.01},0.6729,0.6967
13,{'C': 0.01},0.6721,0.6500
14,{'C': 0.01},0.6721,0.6833
15,{'C': 0.01},0.6682,0.6567
16,{'C': 0.01},0.6707,0.6867
17,{'C': 0.01},0.6710,0.7200
18,{'C': 0.01},0.6743,0.6900
19,{'C': 0.01},0.6746,0.6767
20,{'C': 0.01},0.6728,0.7100
Average,-,-,0.6795
